incident_id,created_at_iso,mode,route_id,route_short_name,stops_impacted,summary_en,plain_en,zh,ar,source,source_url
818486,2025-08-22T09:40:16+10:00,rail,BNBN-4394;BNFG-4350;DBBN-4350;BNDB-4394;BNFG-4394;BRBN-4392;BNSH-4394;VLDB-4392;BNCA-4394;FGBN-4352;VLBD-4390;BDVL-4391;VLDB-4350;VLDB-4394;BRBN-4350;BNFG-4399;BRBN-4391;BNBR-4352;BDVL-4399;DBBN-4391;BDVL-4349;BRVL-4391;VLBD-4392;BDVL-4353;DBBN-4390;VLDB-4399;BRBN-4387;VLBR-4348;VLBN-4337;BRBN-4389;BRBN-4353;BRVL-4349;R591-3039;BNFG-4352;FGBN-4389;VLBR-4395;VLBR-4394;DBBN-4394;VLBD-4350;BNFG-4391;BNVL-4394;BRBN-4349;BRBN-4390;BDBN-4387;BRBN-4399;VLDB-4349;BRBN-4352;DBBN-4348;BRVL-4352;VLBD-4348;VLBR-4349;BNBR-4391;BRVL-4399;VLBD-4349;BDVL-4350;BNFG-4353;BNNA-4394;VLBD-4394;BRBN-4388;FGBN-4391;BDVL-4390;BNFG-4388;BNBR-4349;BNBN-4335;VLBD-4352;VLBR-4391;BNBR-4394;BNVL-4335;VLBN-4335;BNFG-4348;R583-3039;BRBN-4394;BDVL-4394;FGBN-4392;BRVL-4348;DBBN-4399;BDVL-4348;BDVL-4395;BRBN-4348;VLBR-4389;BNBD-4388;BNVL-4387;FGBN-4350;BRVL-4353;BRVL-4389;BDVL-4389;R604-2410;BNBR-4387;BNBR-4390;BNBR-4350;BNFG-4389;VLDB-4348;VLBR-4352;DBBN-4392;BRVL-4350;FGBN-4390;BDBN-4388;BNBR-4392;BRVL-4395;VLBR-4392;BNBD-4387;VLDB-4390;BNVL-4337;FGBN-4348;VLBN-4387;FGBN-4394;VLDB-4391;FGBN-4387;BDVL-4392;BDVL-4352;BNBN-4388;FGBN-4349;BRVL-4394;VLBD-4395;BNBR-4389;BNFG-4349;BNFG-4395;BNVL-4388;VLBN-4388;BRBN-4395;BRVL-4392;VLVL-4388;BNBR-4348;VLBR-4390;VLBR-4399;BNBR-4353;BNBR-4388;FGBN-4399;BNBR-4395;BNBN-4387;VLBD-4389;BNBN-4337;VLBR-4353;DBBN-4349;VLVL-4387;BNBR-4399;DBBN-4389;FGBN-4353;VLBD-4353;VLBD-4399;BNFG-4390;FGBN-4395;VLDB-4389;FGBN-4388;BNFG-4387;BRVL-4390;R585-3039;BNFG-4392;VLBR-4350;VLBD-4391,BDVL,,Track closure on Beenleigh and Gold Coast lines from 30 to 31 August. Normal service resumes on 1 September.,Tracks on Beenleigh and Gold Coast lines will be closed from first service on 30 August to last service on 31 August. Service resumes on 1 September.,从8月30日到8月31日，和 线路将关闭。9月1日恢复正常服务。,سيتم إغلاق خطوط  و  من 30 إلى 31 أغسطس. ستستأنف الخدمة العادية في 1 سبتمبر.,gtfs-rt,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/Alerts
679371,2025-08-22T09:40:16+10:00,bus,539-4097;539-2643,539,,Route 539 has a temporary timetable from Gatton to Helidon due to roadworks until late 2025.,"From 17 February 2025, Route 539 will have a temporary timetable between Gatton and Helidon because of roadworks. Train connections will stay the same.",539路从2025年2月17日起因道路施工在到之间实施临时时间表，直至2025年底。,من 17 فبراير 2025، سيكون هناك جدول زمني مؤقت للخط 539 بين جاتون وهليدون بسبب أعمال الطرق حتى أواخر 2025.,gtfs-rt,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/Alerts
849111,2025-08-22T09:40:16+10:00,bus,503-4186,503,,8:15am route 503 to RiverLink Shopping Centre cancelled due to staff availability.,The 8:15am route 503 to RiverLink Shopping Centre is cancelled because there are not enough staff.,上午8:15的503路到购物中心因人员不足而取消。,تم إلغاء رحلة 503 في الساعة 8:15 صباحًا إلى مركز تسوق ريفر لينك بسبب عدم توفر الموظفين.,gtfs-rt,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/Alerts
614666,2025-08-22T09:40:16+10:00,bus,19-4158,19,,Salisbury station closed on 9 December for Cross River Rail upgrade works.,Salisbury station will be closed on 9 December for important upgrade works.,萨尔兹伯里车站将在12月9日关闭，以进行重要的升级工作。,سيتم إغلاق محطة سالزبري في 9 ديسمبر لأعمال الترقية المهمة.,gtfs-rt,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/Alerts
836711,2025-08-22T09:40:16+10:00,rail,GYBR-4350;GYBR-4335;NASH-4395;SPNA-4390;BRGY-4391;BRGY-4350;BRNA-4349;NABR-4394;BRNA-4335;NAIP-4387;NASP-4390;BRGY-4352;NABR-4391;GYBR-4389;GYBR-4394;RWRP-4390;BRGY-4395;IPNA-4387;SPNA-4395;IPNA-4391;GYBR-4388;RWRP-4389;BRGY-4348;BRGY-4337;NAIP-4348;RWNA-4390;NAIP-4388;NASP-4391;RWRP-4392;IPNA-4394;NAIP-4352;GYBR-4387;SPNA-4353;BRNA-4348;BRGY-4388;NABR-4349;IPNA-4348;BRNA-4389;BRNA-4390;GYBR-4348;NASP-4389;BRGY-4389;RWRP-4350;BRGY-4387;NASP-4348;BRGY-4392;NAIP-4391;IPNA-4353;RWNA-4391;IPNA-4395;RWNA-4349;RWRP-4399;BNNA-4394;NAIP-4395;BRGY-4335;BRGY-4349;BRNA-4350;IPNA-4389;NASP-4350;RWRP-4349;BRGY-4394;IPNA-4388;NABR-4337;GYBR-4353;SPNA-4388;NAIP-4392;GYBR-4390;IPNA-4392;NANA-4399;RWNA-4348;NAIP-4390;SPNA-4350;BRNA-4391;SPNA-4392;RWRP-4391;R604-2410;RWNA-4389;BRGY-4390;NABR-4335;NAIP-4394;IPNA-4349;BRNA-4392;NAIP-4350;IPNA-4390;NABR-4392;R609-4398;SPNA-4348;NASP-4392;BRGY-4353;GYBR-4391;NABR-4350;NABR-4389;GYBR-4352;NABR-4348;NAIP-4353;SPNA-4389;RWNA-4392;RWNA-4350;NAGY-4399;SPNA-4349;NAIP-4349;NASP-4349;GYBR-4337;GYBR-4395;GYBR-4392;GYBR-4349;IPNA-4352;R585-3039;NABR-4390;IPNA-4350;NAIP-4389;R616-4398;RWRP-4348;SPNA-4391;BRNA-4337,BNNA,,Sunshine Coast line closed from 16 to 17 September. Normal service resumes on 18 September.,The Sunshine Coast line will be closed from the first service on 16 September to the last service on 17 September. It will reopen on 18 September.,阳光海岸线将于9月16日首班车至9月17日末班车关闭。将于9月18日恢复正常服务。,سيتم إغلاق خط ساحل الشمس من أول خدمة في 16 سبتمبر حتى آخر خدمة في 17 سبتمبر. سيستأنف الخدمة الطبيعية في 18 سبتمبر.,gtfs-rt,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/Alerts
840086,2025-08-22T09:40:16+10:00,rail,CAIP-4390;CARW-4389;CABR-4391;BRCA-4391;SPNA-4390;BNCA-4394;CAIP-4349;RWCA-4348;BRNA-4349;CASP-4350;CARW-4349;CASP-4391;NABR-4394;CAIP-4394;BRCA-4387;BRNA-4335;CASP-4353;RWCA-4350;NAIP-4387;NASP-4390;SPCA-4388;NABR-4391;IPCA-4394;CASP-4399;SPNA-4395;IPNA-4387;IPNA-4391;CABR-4348;CABR-4399;BRCA-4353;DBCA-4337;NAIP-4348;RWNA-4390;NAIP-4388;IPCA-4348;CAIP-4348;NASP-4391;SPCA-4350;RWCA-4389;SHCA-4395;IPNA-4394;SPCA-4353;NAIP-4352;CADB-4335;CASP-4388;RWCA-4391;SPNA-4353;BRNA-4348;CABR-4390;DBCA-4335;NABR-4349;IPNA-4348;BRNA-4389;BRNA-4390;NASP-4389;BRCA-4348;CAIP-4392;CABR-4392;CARW-4392;CAIP-4353;CAIP-4350;NASP-4348;IPCA-4390;NAIP-4391;CARW-4390;IPCA-4353;IPNA-4353;RWCA-4399;RWNA-4391;IPNA-4395;CABR-4349;CAIP-4352;RWCA-4392;RWNA-4349;RWCA-4349;BNNA-4394;SPCA-4390;CASP-4389;BRCA-4399;BRCA-4390;NAIP-4395;SPCA-4392;BRNA-4350;IPNA-4389;NASP-4350;IPNA-4388;CABR-4337;SPCA-4395;NABR-4337;SPCA-4399;CARW-4391;SPNA-4388;NAIP-4392;CASP-4390;IPNA-4392;IPCA-4387;RWNA-4348;IPCA-4392;IPCA-4391;NAIP-4390;CAIP-4389;SPNA-4350;BRNA-4391;SPNA-4392;IPCA-4349;CADB-4337;R604-2410;RWNA-4389;NABR-4335;NAIP-4394;IPNA-4349;BRNA-4392;CAIP-4391;CASP-4348;NAIP-4350;IPNA-4390;NABR-4392;IPCA-4399;BRCA-4389;BRCA-4395;CAIP-4388;RWCA-4390;CABR-4389;IPCA-4388;CASP-4392;CARW-4350;SPNA-4348;NASP-4392;IPCA-4395;SPCA-4348;NABR-4350;NABR-4389;CAIP-4387;IPCA-4350;CABR-4335;NABR-4348;NAIP-4353;IPCA-4352;BRCA-4392;R603-3039;CASP-4395;SPNA-4389;CARW-4348;CARW-4399;RWNA-4392;BRCA-4388;BRCA-4352;RWNA-4350;SPCA-4349;CABR-4350;BRCA-4337;IPCA-4389;CAIP-4399;SPNA-4349;SPCA-4391;BRCA-4350;NAIP-4349;NASP-4349;IPNA-4352;R585-3039;BRCA-4335;NABR-4390;SPCA-4389;CASP-4349;BRCA-4349;IPNA-4350;BRCA-4394;NAIP-4389;CABR-4394;SPNA-4391;CAIP-4395;BRNA-4337,BNCA,,Lift out of service at Caboolture station for platforms 2 and 3. Assistance available via phone or SMS.,The lift at Caboolture station for platforms 2 and 3 is not working. Call 13 16 17 or text 0428 774 636 for help.,车站2号和3号站台的电梯故障。需要帮助请拨打13 16 17或发送短信0428 774 636。,مصعد محطة كابولتشور في الرصيفين 2 و3 خارج الخدمة. للمساعدة اتصل بالرقم 13 16 17 أو أرسل رسالة نصية إلى 0428 774 636.,gtfs-rt,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/Alerts
711901,2025-08-22T09:40:16+10:00,bus,572-4290;575-4397;572-4397;577-4397;555-4397;573-4397;N555-4290;553-4290;576-4397;N555-4397;553-4397;555-4290;576-4290;561-4397;551-4397,551,310941,The new Rochedale station and park 'n' ride is open. Several bus routes now serve this station.,"Rochedale station and park 'n' ride is open. Bus routes 551, 555, N555, 561, 573, 575, 576, 577, and P581 stop here.",新的车站和停车换乘站已开放。多条公交线路现在在此停靠。,تم افتتاح محطة روشديل الجديدة وموقف السيارات. العديد من خطوط الحافلات تتوقف هنا الآن.,gtfs-rt,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/Alerts
831076,2025-08-22T09:40:16+10:00,bus,711-4203;756-4203;720-4203;737-4203;741-4203;745-4203;764-4203;723-4203;748-4203;752-4203;704-4203;768-4203;718-4203;729-4203;754-4203;716-4203;766-4203;742-4203;767-4203;740-4203;700-4203;727-4203;713-4203;736-4203;710-4203;735-4203;724-4203;757-4203;747-4203;753-4203;759-4203;728-4203;717-4203;746-4203;751-4203;750-4203;738-4203;760-4203;719-4203;763-4203;765-4203;749-4203;731-4203;725-4203;TX7-4203;712-4203;721-4203;744-4203;722-4203;755-4203;739-4203;705-4203;714-4203;758-4203;743-4203;726-4203;777-4203;715-4203,700,,"On 29 August, Gold Coast bus services will run to a Sunday timetable due to the public holiday. Normal services resume on 30 August.","On 29 August, Gold Coast buses will follow a Sunday schedule because of the public holiday. Regular services start again on 30 August.",由于公共假期，8月29日黄金海岸的公交服务将按照周日时间表运行。正常服务将于8月30日恢复。,في 29 أغسطس، ستعمل خدمات الحافلات في جولد كوست وفق جدول يوم الأحد بسبب العطلة العامة. ستستأنف الخدمات العادية في 30 أغسطس.,gtfs-rt,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/Alerts
801756,2025-08-22T09:40:16+10:00,,,,301714;301712,David Low Way stops closed from 14 July to mid-October due to upgrades. Use alternative stop for route 5839.,Stops on David Low Way will be closed from 14 July to mid-October. Use an alternative stop for route 5839.,大卫·洛威大道的停靠站将从7月14日关闭至10月中旬。5839路请使用替代停靠站。,ستغلق محطات طريق ديفيد لو واي من 14 يوليو إلى منتصف أكتوبر. استخدم محطة بديلة للخط 5839.,gtfs-rt,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/Alerts
835976,2025-08-22T09:40:16+10:00,rail,BNBN-4394;BNFG-4350;DBBN-4350;CLSH-4399;BNDB-4394;BNFG-4394;BRBN-4392;BNSH-4394;VLDB-4392;BNCA-4394;FGBN-4352;VLBD-4390;DBCL-4350;DBCL-4399;BDVL-4391;VLDB-4350;CLBR-4392;SHCL-4395;BRCL-4353;BRBN-4350;VLDB-4394;CLBR-4389;BNFG-4399;BRBN-4391;BNBR-4352;CLSH-4392;DBCL-4389;BRCL-4352;BDVL-4399;DBBN-4391;CLSH-4349;CLSH-4388;CLSH-4387;BDVL-4349;BRVL-4391;VLBD-4392;BDVL-4353;BRCL-4349;R348-4282;CLDB-4399;DBBN-4390;VLDB-4399;CLDB-4390;BRBN-4387;DBCL-4391;CLBR-4352;VLBR-4348;VLBN-4337;SHCL-4353;CLDB-4350;BRBN-4389;BRBN-4353;CLBR-4387;CLSH-4348;BRVL-4349;R591-3039;BNFG-4352;SHCL-4394;CLDB-4349;FGBN-4389;SHCL-4391;VLBR-4395;VLBR-4394;CLBR-4391;DBBN-4394;VLBD-4350;BNFG-4391;BNVL-4394;BRBN-4349;BRBN-4390;BDBN-4387;BRBN-4399;BRCL-4350;VLDB-4349;BRBN-4352;DBBN-4348;CLSH-4353;BRVL-4352;VLBD-4348;VLBR-4349;BNBR-4391;BRVL-4399;CLDB-4389;VLBD-4349;BDVL-4350;BNFG-4353;BNNA-4394;VLBD-4394;BRBN-4388;SHCL-4392;FGBN-4391;BDVL-4390;BNFG-4388;BNBR-4349;BRCL-4390;CLBR-4394;BNBN-4335;VLBD-4352;VLBR-4391;BRCL-4391;CLCL-4335;SHCL-4388;BNBR-4394;CLSH-4390;BNVL-4335;VLBN-4335;BNFG-4348;CLSH-4395;R583-3039;BRCL-4395;BRBN-4394;BDVL-4394;BRCL-4394;FGBN-4392;BRVL-4348;CLDB-4394;DBBN-4399;SHCL-4389;BDVL-4348;SHCL-4387;DBCL-4349;BDVL-4395;BRBN-4348;VLBR-4389;CLBR-4388;BNBD-4388;BNVL-4387;BRCL-4388;FGBN-4350;BRVL-4353;SHCL-4390;BRVL-4389;BDVL-4389;BRCL-4348;BNBR-4387;BNBR-4390;BNBR-4350;BNFG-4389;DBCL-4390;R604-2410;VLBR-4352;VLDB-4348;CLSH-4391;DBBN-4392;BRVL-4350;FGBN-4390;BDBN-4388;CLBR-4350;BNBR-4392;BRVL-4395;VLBR-4392;BNBD-4387;VLDB-4390;CLBR-4353;BNVL-4337;FGBN-4348;VLBN-4387;FGBN-4394;CLBR-4348;VLDB-4391;FGBN-4387;BDVL-4392;BDVL-4352;BNBN-4388;BRCL-4387;CLCL-4337;FGBN-4349;BRVL-4394;VLBD-4395;BNBR-4389;BNFG-4349;CLDB-4391;SHCL-4348;BNFG-4395;BNVL-4388;CLBR-4395;VLBN-4388;BRBN-4395;DBCL-4392;CLDB-4348;BRVL-4392;VLVL-4388;BNBR-4348;VLBR-4390;VLBR-4399;CLSH-4394;BNBR-4353;BNBR-4388;FGBN-4399;SHCL-4399;BNBR-4395;BNBN-4387;CLBR-4349;VLBD-4389;BRCL-4399;BNBN-4337;CLBR-4399;VLBR-4353;DBBN-4349;VLVL-4387;BNBR-4399;DBBN-4389;CLSH-4352;CLSH-4389;BRCL-4392;FGBN-4353;VLBD-4353;VLBD-4399;BNFG-4390;FGBN-4395;R348-4156;VLDB-4389;SHCL-4352;FGBN-4388;BNFG-4387;BRVL-4390;R585-3039;BNFG-4392;VLBR-4350;BRCL-4389;VLBD-4391;SHCL-4350;SHCL-4349;CLBR-4390;CLDB-4392;CLCL-4389;CLCL-4390;CLSH-4350;R581-3039;DBCL-4348,BDVL,,"Track closure on Beenleigh, Cleveland and Gold Coast lines from 9:30pm to last service on 1-2 September.","Tracks on Beenleigh, Cleveland and Gold Coast lines will close from 9:30pm to last service on 1-2 September.",9月1日至2日，每晚9:30至最后一班车，、和 线路将关闭。,سيتم إغلاق المسارات على خطوط  و و  من الساعة 9:30 مساءً حتى آخر خدمة في 1-2 سبتمبر.,gtfs-rt,https://gtfsrt.api.translink.com.au/api/realtime/SEQ/Alerts
