incident_id,created_at_iso,mode,route_id,route_short_name,stops_impacted,summary_en,plain_en,zh,ar,source,source_url,text
ccb6d458-dc1c-5aa4-aced-5f87e117c73b,2025-08-21T12:36:03+10:00,,4T.T.WT27,,,CLK427 Sydney to Dubbo XPT service delay and alteration.,CLK427 Sydney to Dubbo XPT service delay and alteration.,427从悉尼到达布博的列车延误并有变更。,تأخرت خدمة 427 من سيدني إلى دوبو وتم تغييرها.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,CLK427 Sydney to Dubbo XPT service delay and alteration. CLK427 Sydney to Dubbo XPT service will terminate at Orange due to an earlier mechanical issue. Passengers will join a coach service at Orange to complete their journey.
4be60be7-bb2a-50fd-9d87-3c150c20ce27,2025-08-21T12:36:03+10:00,,4T.T.WT28,,,CLK428 Dubbo to Sydney XPT service alteration.,CLK428 Dubbo to Sydney XPT service alteration.,428从到悉尼的火车服务已更改。,تم تغيير خدمة القطار 428 من دوبو إلى سيدني.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,CLK428 Dubbo to Sydney XPT service alteration. CLK428 Dubbo to Sydney XPT service is replaced by a coach service between Dubbo and Orange due to an earlier mechanical issue. Passengers will join the XPT at Orange to complete their journey.
8218863d-dba1-568a-9d68-a4d84d97e25b,2025-08-21T12:36:03+10:00,,2501_5050;2501_5056;2501_5060,,,Diversion at East Kurrajong,Diversion at East Kurrajong,东库拉琼正在进行改道。,يوجد تحويل في شرق كورا جون.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Diversion at East Kurrajong At East Kurrajong, school buses are diverting away from Tennyson Road, between East Kurrajong Road and Valley Way, due to flooding. From both Tennyson Road and East Kurrajong Road, buses are using other local roads instead. Please signal the bus driver as required."
e9c0084f-e5a7-56b3-8462-e7af0f0db03a,2025-08-21T12:36:03+10:00,,4T.T.ST23,,,Train service delays at Central Station,Train service delays at Central Station,中央车站的火车服务延误。,خدمات القطارات متأخرة في محطة المركز.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Train service delays at Central Station There are delays on route 623 train services due to customer boarding delays. 
 Plan ahead and allow extra travel time."
3aa7de23-357a-5536-801b-cdaa8ec4ba6f,2025-08-21T12:36:03+10:00,,5006_S383,,,Gunnedah temporary diversion,Gunnedah temporary diversion,在有临时绕行。,يوجد تحويل مؤقت في غونيداه.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Gunnedah temporary diversion From Tuesday 19 August to Friday 22 August, due to a temporary road closure, Route S383 Gunnedah Schools will be diverted from its usual route."
93fb36c3-7e6f-562f-963a-4531b0689b57,2025-08-21T12:36:03+10:00,,IWL_1a;IWL_1b;IWL_1c;IWL_1d;IWL_1e;IWL_1f;IWL_1g;IWL_1h;IWL_1i;IWL_1j;IWL_2a;IWL_2b;IWL_2c;IWL_2d;IWL_2e;IWL_2f;IWL_2g;IWL_2h;IWL_2i;IWL_2j,,,Buses replace trains between Leppington and Fairfield,Buses replace trains between Leppington and Fairfield,巴士在和之间替代火车。,الحافلات تحل محل القطارات بين ليبينجتون وفيرفيلد.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Buses replace trains between Leppington and Fairfield Wednesday 20 and Thursday 21 August Nightly from 9 40 PM to 1 30 AM, buses replace trains between Leppington and Fairfield."
d2288d9f-9bba-55b3-979d-0d63d6043a3b,2025-08-21T12:36:03+10:00,,CMB_1a;CMB_1b;CMB_1c;CMB_1d;CMB_2a;CMB_2b;CMB_2c;CMB_2d,,,Buses replace trains between Leppington and Fairfield,Buses replace trains between Leppington and Fairfield,巴士在和之间替代火车。,الحافلات تحل محل القطارات بين ليبينجتون وفيرفيلد.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Buses replace trains between Leppington and Fairfield Wednesday 20 and Thursday 21 August Nightly from 9 40 PM to 1 30 AM, buses replace trains between Leppington and Fairfield."
f8c91911-de15-5e67-a28e-57d6f135f94f,2025-08-21T12:36:03+10:00,,T6_1a;T6_1b;T6_1c;T6_2a;T6_2b;T6_2c,,,Buses replace trains between Bankstown and Lidcombe,Buses replace trains between Bankstown and Lidcombe,巴士在和之间替代火车。,الحافلات تحل محل القطارات بين بانكستاون وليدكومب.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Buses replace trains between Bankstown and Lidcombe Wednesday 20 and Thursday 21 August Nightly from 9 40 PM to 1 30 AM, buses replace trains between Bankstown and Lidcombe."
88ec99ee-7da5-5685-b350-d3cab6c4125e,2025-08-21T12:36:03+10:00,,BNK_1a;BNK_1b;BNK_1c;BNK_1d;BNK_1e;BNK_1f;BNK_1g;BNK_1h;BNK_2a;BNK_2b;BNK_2c;BNK_2d;BNK_2e;BNK_2f;BNK_2g;BNK_2h;T3_1a;T3_1b;T3_1c;T3_1d;T3_2a;T3_2b;T3_2c;T3_2d,,,Buses replace trains between Liverpool and Lidcombe,Buses replace trains between Liverpool and Lidcombe,巴士替代利物浦和利德科姆之间的火车。,الحافلات تحل محل القطارات بين ليفربول وليدكوم.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Buses replace trains between Liverpool and Lidcombe Wednesday 20 and Thursday 21 August Nightly from 9 40 PM to 1 30 AM, buses replace trains between Liverpool and Lidcombe."
7496f42c-9875-5236-b282-228fc99d9234,2025-08-21T12:36:03+10:00,,4T.T.BMT,,,Buses replace trains between Springwood and Penrith,Buses replace trains between Springwood and Penrith,巴士在斯普林伍德和彭里斯之间替代火车。,الحافلات تحل محل القطارات بين سبرينغوود وبنريث.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Buses replace trains between Springwood and Penrith Wednesday 20 and Thursday 21 August Nightly from 10 PM to 2 AM, buses replace trains between Springwood and Penrith."
66b77879-7537-5284-8082-3f0b1b070320,2025-08-21T12:36:03+10:00,,WST_1a;WST_1b;WST_2c;WST_2d,,,Buses replace trains between Emu Plains and Penrith,Buses replace trains between Emu Plains and Penrith,巴士在 和之间替代火车。,الحافلات تحل محل القطارات بين إيمو بلاينز وبنريث.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Buses replace trains between Emu Plains and Penrith Wednesday 20 and Thursday 21 August
Nightly from 9:30PM to 2AM, buses replace trains between Emu Plains and Penrith.
Trains run between Penrith and Central, some to a changed timetable."
9e06d90d-1abb-5fdc-8994-38a79d01db6f,2025-08-21T12:36:03+10:00,,6005_304;6005_S374,,,Diversions in Lithgow,Diversions in Lithgow,利斯戈有绕行。,هناك تحويلات في ليثغو.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Diversions in Lithgow In Lithgow, buses are diverting away from Inch Street due to a fire at Donald Street. Buses are using Atkinson Street instead. Four stops are being missed."
2e3a1e53-519a-5e32-af4c-64d402aa02ab,2025-08-21T12:36:03+10:00,,5968_S377,,,Nabiac to Wallanbah diversion,Nabiac to Wallanbah diversion,纳比亚克到瓦兰巴的路线目前被改道。,طريق نابيلاك إلى والانباه تم تحويله حاليا.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Nabiac to Wallanbah diversion Route 377 school buses are diverting away from Dargavilles Road causeway between Wang Wauk Road and Wallanbah Road, due to flooding. Buses are using Wallanbah Road and Dargavilles Road instead. Please meet bus at the corner of Wallanbah Road and Dargavilles Road. Three stops are being missed."
76aceee8-25bf-58f2-83a6-ab857c353c87,2025-08-21T12:36:03+10:00,,2501_4027;2501_4595;2501_5047;2501_5525;2501_5528;2501_674;2502_4027,,,Diversions in Shanes Park,Diversions in Shanes Park,在香农公园有绕行。,هناك تحويلات في حديقة شينز.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Diversions in Shanes Park At Shanes Park, buses are diverting away from Stony Creek Road and St Marys Road due to flooding. Buses are using other local roads instead in both directions. Four stops are being missed."
33d10c99-9e43-5815-8aa1-2efc58beabca,2025-08-21T12:36:03+10:00,,2508_155;2514_136;2514_137,,,Diversion at Oxford Falls,Diversion at Oxford Falls,牛津瀑布有改道。,يوجد تحويل في أكسفورد فولز.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Diversion at Oxford Falls Buses are diverting away from Wakehurst Parkway due to flooding between The Academy of Sport and Oxford Falls Road.
Buses to Frenchs Forest and Narrabeen are using Waterloo Street, Pittwater Road, Warringah Road and Frenchs Forest Road in both directions. 
School bus routes 136 & 137 to Oxfords Falls Grammar are using Pittwater Road, Warringah Road, Frenchs Forest Road, Wakehurst Parkway and Dreadnought Road instead. 
No stops are being missed. Allow extra travel time."
3824790f-f5f7-5af0-9996-a50e8e6a777f,2025-08-21T12:36:03+10:00,,4T.T.NT31,,,22nd August 2025- 31 Sydney to Brisbane XPT service.,22nd August 2025- 31 Sydney to Brisbane XPT service.,2025年8月22日至31日，悉尼至布里斯班的服务受到干扰。,خدمة  من سيدني إلى بريسبان متوقفة من 22 إلى 31 أغسطس 2025.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"22nd August 2025- 31 Sydney to Brisbane XPT service. Due to planned trackwork, 31 will terminate at Casino. Passengers will board awaiting coaches to travel the remainder of the journey. Customers to/from Kyogle will connect to a mini bus service to/from Casino."
315c7c9f-fc1b-5f06-84ac-00f02209aaf2,2025-08-21T12:36:03+10:00,,4T.T.NT34,,,22nd August 2025- 34 Casino to Sydney XPT service.,22nd August 2025- 34 Casino to Sydney XPT service.,2025年8月22日，34号从到的服务受到影响。,خدمة 34 من كازينو إلى سيدني  متوقفة في 22 أغسطس 2025.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"22nd August 2025- 34 Casino to Sydney XPT service. Due to planned trackwork, the Casino to Sydney XPT service will be replaced by road coaches between Taree and Sydney"
8d902358-b01b-508e-b8b5-4841172c941d,2025-08-21T12:36:03+10:00,,SCO_1a;SCO_1b;SCO_2a;SCO_2b,,,"Buses replace trains between Dapto, Port Kembla and Sutherland","Buses replace trains between Dapto, Port Kembla and Sutherland",巴士在达普托、港肯布拉和萨瑟兰之间替代火车。,الحافلات تحل محل القطارات بين دابتو وبورت كيمبلا وساذرلاند.,gtfs-rt,https://api.transport.nsw.gov.au/v2/gtfs/alerts/all,"Buses replace trains between Dapto, Port Kembla and Sutherland Saturday 23 August From 3 AM to 11 AM, buses replace trains between Dapto, Port Kembla and Sutherland."
