created_at_iso,route_id,route_short_name,summary_en,plain_en
2025-08-14T12:13:07+10:00,aus:vic:vic-02-HBE-R:;aus:vic:vic-02-HBE:,Alamein,17 car spaces in Beetham Parade car park closed from 27 May to 14 August for project works.,"From 27 May to 14 August, 17 car spaces in Beetham Parade car park are closed for work. Follow signs for safety."
2025-08-14T12:13:07+10:00,aus:vic:vic-02-BEG:;aus:vic:vic-02-BEG-R:,Alamein,"Night services disrupted from 8.30pm, 10 to 14 August.",Services will be disrupted every night from 8.30pm between 10 and 14 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-WER-R:;aus:vic:vic-02-WER:,Alamein,First service on Thursday 14 August until 8.30pm Friday 15 August.,The first service will run from Thursday 14 August to 8.30pm on Friday 15 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-SUY:;aus:vic:vic-02-SUY-R:,Alamein,Service disruption from 10pm on Friday 15 August to 4am on Saturday 16 August.,There will be service disruption from 10pm on Friday 15 August until 4am on Saturday 16 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-PKM-R:;aus:vic:vic-02-CBE-R:;aus:vic:vic-02-CBE:;aus:vic:vic-02-PKM:,Alamein,Disruption from 1am to 4am on Saturday 16 August.,There will be disruption from 1am to 4am on Saturday 16 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-CGB-R:;aus:vic:vic-02-UFD:;aus:vic:vic-02-CGB:;aus:vic:vic-02-UFD-R:,Alamein,More trains will run from 4.30am Saturday 16 August to 12.30am Sunday 17 August.,More trains will be available from 4.30am on Saturday 16 August until 12.30am on Sunday 17 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-CBE:;aus:vic:vic-02-SUY:;aus:vic:vic-02-PKM:;aus:vic:vic-02-SUY-R:;aus:vic:vic-02-PKM-R:;aus:vic:vic-02-CBE-R:,Alamein,"From 16 to 17 August, Metro Tunnel works will change train journeys. Trains will end at Caulfield or Footscray. Allow extra time.","From 16 to 17 August, trains will only go to Caulfield or Footscray. Change trains to reach the City. Allow extra time for your journey."
2025-08-14T12:13:07+10:00,aus:vic:vic-02-WER-R:;aus:vic:vic-02-WER:,Alamein,Disruption from 5am Saturday 16 August to last service Sunday 17 August.,Services will be disrupted from 5am on Saturday 16 August until the last service on Sunday 17 August.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-WER-R:;aus:vic:vic-02-WER:,Alamein,Southern car park closed for works from 2am 7 August to 3pm 18 August. Follow signage for safety.,The southern car park will be closed from 2am on 7 August to 3pm on 18 August. Follow signs for your safety.
2025-08-14T12:13:07+10:00,aus:vic:vic-02-SUY:;aus:vic:vic-02-SUY-R:,Alamein,"From 7 July to late August, 90 car spaces in the south-east car park on Watergardens Circuit Road are closed for upgrades.","From 7 July to late August, 90 parking spaces in the south-east car park on Watergardens Circuit Road will be closed for upgrades."
