created_at_iso,route_id,route_short_name,summary_en,plain_en,text
2025-08-21T12:36:03+10:00,4T.T.WT28,,CLK428 Dubbo to Sydney XPT service alteration.,CLK428 Dubbo to Sydney XPT service alteration.,CLK428 Dubbo to Sydney XPT service alteration. CLK428 Dubbo to Sydney XPT service is replaced by a coach service between Dubbo and Orange due to an earlier mechanical issue. Passengers will join the XPT at Orange to complete their journey.
2025-08-21T12:36:03+10:00,5006_S383,,Gunnedah temporary diversion,Gunnedah temporary diversion,"Gunnedah temporary diversion From Tuesday 19 August to Friday 22 August, due to a temporary road closure, Route S383 Gunnedah Schools will be diverted from its usual route."
2025-08-21T12:36:03+10:00,IWL_1a;IWL_1b;IWL_1c;IWL_1d;IWL_1e;IWL_1f;IWL_1g;IWL_1h;IWL_1i;IWL_1j;IWL_2a;IWL_2b;IWL_2c;IWL_2d;IWL_2e;IWL_2f;IWL_2g;IWL_2h;IWL_2i;IWL_2j,,Buses replace trains between Leppington and Fairfield,Buses replace trains between Leppington and Fairfield,"Buses replace trains between Leppington and Fairfield Wednesday 20 and Thursday 21 August Nightly from 9 40 PM to 1 30 AM, buses replace trains between Leppington and Fairfield."
2025-08-21T12:36:03+10:00,CMB_1a;CMB_1b;CMB_1c;CMB_1d;CMB_2a;CMB_2b;CMB_2c;CMB_2d,,Buses replace trains between Leppington and Fairfield,Buses replace trains between Leppington and Fairfield,"Buses replace trains between Leppington and Fairfield Wednesday 20 and Thursday 21 August Nightly from 9 40 PM to 1 30 AM, buses replace trains between Leppington and Fairfield."
2025-08-21T12:36:03+10:00,T6_1a;T6_1b;T6_1c;T6_2a;T6_2b;T6_2c,,Buses replace trains between Bankstown and Lidcombe,Buses replace trains between Bankstown and Lidcombe,"Buses replace trains between Bankstown and Lidcombe Wednesday 20 and Thursday 21 August Nightly from 9 40 PM to 1 30 AM, buses replace trains between Bankstown and Lidcombe."
2025-08-21T12:36:03+10:00,5968_S377,,Nabiac to Wallanbah diversion,Nabiac to Wallanbah diversion,"Nabiac to Wallanbah diversion Route 377 school buses are diverting away from Dargavilles Road causeway between Wang Wauk Road and Wallanbah Road, due to flooding. Buses are using Wallanbah Road and Dargavilles Road instead. Please meet bus at the corner of Wallanbah Road and Dargavilles Road. Three stops are being missed."
2025-08-21T12:36:03+10:00,2508_166,,Dee Why bus diversions for Beach2Beach fun run,Dee Why bus diversions for Beach2Beach fun run,"Dee Why bus diversions for Beach2Beach fun run Sunday 24 August
From 5:30AM until 8:30AM, route 166 services will divert and use different stops while roads are closed for the Beach2Beach fun run. 
Services in both directions will divert away from closures between Dee Why and Curl Curl via Pittwater Road, Harbord Road and Brighton Street.  
Check signs at bus stops for alternative stop locations and allow extra travel time. Visit the Beach2Beach event page at transportnsw.info for more transport details."
2025-08-21T12:36:03+10:00,2508_167,,Freshwater bus diversions for Beach2Beach fun run,Freshwater bus diversions for Beach2Beach fun run,"Freshwater bus diversions for Beach2Beach fun run Sunday 24 August
From 5:30AM until 8:30AM, route 167 services will divert and use different stops while roads are closed for the Beach2Beach fun run. 
Services in both directions will divert away from closures between Dee Why and Curl Curl via Pittwater Road, Harbord Road and Brighton Street.  
Check signs at bus stops for alternative stop locations and allow extra travel time. Visit the Beach2Beach event page at transportnsw.info for more transport details."
2025-08-21T12:36:03+10:00,4T.T.NP44,,23rd August - 24th August - 244 - Moree to Sydney Xplorer Service,23rd August - 24th August - 244 - Moree to Sydney Xplorer Service,23rd August - 24th August - 244 - Moree to Sydney Xplorer Service Due to planned trackwork this service has been replaced by road coaches between Muswellbrook and Sydney. At Muswellbrook customers will board the awaiting road coaches for the remainder of the journey.
2025-08-21T12:36:03+10:00,IWL_1a;IWL_1b;IWL_1c;IWL_1d;IWL_1e;IWL_1f;IWL_1g;IWL_1h;IWL_1i;IWL_1j;IWL_2a;IWL_2b;IWL_2c;IWL_2d;IWL_2e;IWL_2f;IWL_2g;IWL_2h;IWL_2i;IWL_2j,,Trains run to a changed timetable and stopping pattern. Buses replace some trains between Cabramatta and Granville,Trains run to a changed timetable and stopping pattern. Buses replace some trains between Cabramatta and Granville,Trains run to a changed timetable and stopping pattern. Buses replace some trains between Cabramatta and Granville Saturday 23 and Sunday 24 August Inner West trains will not run. T1 Western and T2 Leppington trains make extra stops.
